,label,text
0,1,国产来喽 二嫂最好https://pan.baidu.com/mbox/homepage?short=hsw6gc8百度网盘 享你所想
1,1,本人因个人原因要转出一套滑板（BAKER板面 一副国产桥和轮子）。买的时间不长 也没有太燥 八九成新，超级骚气的一块板 带出去贼有排面没毛病原价720买的 现在580出手可小刀。
2,1,这是一部国产版的杨永信+豫章学院+校园暴力的动漫。果然学校是另外一个社会。 你们是否也经历过校园暴力？
3,1,亲爱的，新号三天不能发私信，加V心给你吧：15968296083 我给你食谱，一定坚持，加油，么么哒
4,1,我给你食谱，如果能坚持下来一个月瘦10斤，20斤没问题的，实在不行，我也有另外的方法，想要就加V心吧
5,1,加V心：snow0548，有这个哟
6,1,充电打伙计28包邮 喜欢加唯心N07543
7,1,欢乐抓娃娃
8,1,有没有玩欢乐抓娃娃的呀，输入我的邀请码可以得币呦
9,1,欢乐抓娃娃，邀请码963280得30个币，抓到娃娃免费到家
10,1,下载欢乐抓娃娃，填邀请码963280，可得30币，抓到免费送到家，右友们，谢谢了
11,1,下载欢乐抓娃娃，填邀请码963280，可得30币，抓到免费送到家
12,1,急周转找我，看昵称
13,1,加我扣扣1445183254
14,1,可以加我扣扣2295310255 了解一下
15,1,需要加我扣扣哦，2645683772
16,1,加我扣扣840379327
17,1,2295310255可以加我扣扣
18,1,加我扣扣聊吧209759259
19,1,加我扣扣聊吧，209759259
20,1,加我扣扣2645683772
21,1,加我扣扣483953995
22,1,有 加我扣扣 3070667143
23,1,加我扣扣，有小视频哦，2791644188
24,1,10r 加我扣扣
25,1,收工资喽，加我扣扣1922488504跟我做兼职
26,1,加我扣扣483953995干翻你
27,1,我今年23了，想找一个对我的男朋友，真心可以陪我一辈子的，没有多少要求，真心爱我的，对我好，包容我的所有脾气，对家里必须要有孝心。可以加我扣扣聊 非诚勿扰
28,1,加我扣扣84037327
29,1,加我扣扣2160276042空间自取
30,1,喜欢我加我扣扣840379327
31,1,来来来进来看看呗 群号 561618114 进群的要求那么简单不进都可惜了 就需要你们爆个照而已还有福利的啊 爆完还可以指定别人爆照的
32,1,给大家介绍一个OPPO美化字体和主题的群，群主很好，小哥哥小姐姐都很厉害。群里有各种主题，字体之类的，群主管理们也会破解主题商店付费主题字体，还会无偿教你们改运营商名字，。 群号码：436575627 加群说明从哪里看到的，从最右就是最右 截屏↓我最喜欢字体😂😂绝对能下载 ps:喜欢什么福利？贴不沉就发😏看你们的美化包软件
33,1,要片加群 欢迎加入黄 五元一部，群号码：600549388
34,1,一部手机，一杯茶，一个wifi ￼人在哪里，工作就在哪里 ￼本人学生党，非诚勿扰 加q291191262
35,1,有喜欢买品牌服装的小仙女可以加我。我做品牌服装特卖。保证正品，价格美丽到没朋友。有无印良品，拉夏贝尔。only。moda等等很多品牌。偶尔也有很大牌的正品
36,1,需要A.V的可以加我卫星号，价格公道，算了，心情不好不卖了😂
37,1,宝贝儿们，三四百的奢侈品不舍得买，来找我就对了，真的超级好用，保证安全和质量。喜欢大牌的小可爱可以加我试试。我也有自留款，关键是价格想象不到的优惠。放心好的我会推荐给你，不好的也会直接跟你们说的。
38,1,1500盘两赛季王者 这游戏不难 刷战力 上王者 效率信誉 价格加我私聊 诚心的来 看图懂得自然懂
39,1,私聊吧，要不加我QQ764745302价格合适就出
40,1,需要资源的加我哦 价格私聊 QQ3320504539
41,1,我是卖漂亮衣服和漂亮包包的，价格实惠又便宜，给自己打个广告哈哈，喜欢的小姐姐可以加我一下啊
42,1,纹身加我价格私聊
43,1,陪打.拉分的.加我.价格详谈
44,1,关于脚的任何资源，可以加我卫星15298671220 价格实惠
45,1,想要出个手机，魅蓝note5，想换个手机差点钱，价格是750（不分期），国行全网通3+32，暑假买的，手机基本全新，仅一处磕碰已拍出，有意者加我详谈（qq2791784728）
46,1,想看电影吗？那就先加我QQ 不管什么电影都有 ，但不是免费 普通电影:1.5💰1部 资源电影:2.5💰1部 那种电影(你懂的):5💰1部(另♛出售软件-内含几千部电影及小视频:售价15💰，可看截图) QQ:2698016652(仅支持QQ红包和微信支付)
47,1,两千G资源等你，微信qingchun-66
48,1, ️天才枪手‼️高清资源已有 上了腾讯新闻的微信推送，豆瓣超高打分，泰国电影之初恋那件小事儿，想必你们都看过，那今天必须隆重推荐这一部咯😉5💰带走 看过的来找我拿高清资源~
49,1,加微信wknasnl1997无偿拿资源
50,1,http://pan.baidu.com/s/1qYzD96W在这里发资源总是被吞想要的宝宝加我微信不要钱钱👉1327823449
51,1,可以微信搜索公众号 全网视频资源
52,1,求资源？ 加我 微信一个一个发 为什么加微信发 因为会被和谐掉
53,1,关于脚的任何资源，可以加我微信15298671220 价格实惠。
54,1,需要资源加微信：2069197721
55,1,资源整理不易 看全文请加微信：943681885 只需3.99元 童叟无欺 诚信交易
56,1,小可爱们， 这里有致我们单纯的小美好资源。 同步更新到了12都给你。 需要加我微信lr21742060 心动不如行动小可爱们
